full_name,repo_url,owner_repo,stars,forks
MyDeepLearningForMat,https://github.com/kingdol666/MyDeepLearningForMat,kingdol666/MyDeepLearningForMat,1,0
topo-metrics,https://github.com/tcnicholas/topo-metrics,tcnicholas/topo-metrics,1,0
vasp_scripts,https://github.com/Pravanop/vasp_scripts,Pravanop/vasp_scripts,1,0
pyCSRO,https://github.com/yanglonggroup/pyCSRO,yanglonggroup/pyCSRO,1,1
OmniSAM,https://github.com/Ding-Zhong/OmniSAM,Ding-Zhong/OmniSAM,1,0
materials-analysis-with-machine-learning,https://github.com/adiarai/materials-analysis-with-machine-learning,adiarai/materials-analysis-with-machine-learning,1,0
mkite_catalysis,https://github.com/mkite-group/mkite_catalysis,mkite-group/mkite_catalysis,1,1
PhaseBO,https://github.com/lrcfmd/PhaseBO,lrcfmd/PhaseBO,1,0
revelsmd,https://github.com/user200000/revelsmd,user200000/revelsmd,1,1
Moltherm,https://github.com/peiyuan-yu/Moltherm,peiyuan-yu/Moltherm,1,1
PS-TEROS,https://github.com/DoriniTT/PS-TEROS,DoriniTT/PS-TEROS,1,0
NeutronScatteringCoverageSimulation,https://github.com/EnjoyXu/NeutronScatteringCoverageSimulation,EnjoyXu/NeutronScatteringCoverageSimulation,1,1
pydxd,https://github.com/hpmartins/pydxd,hpmartins/pydxd,1,0
smiles-cl,https://github.com/Rostlab/smiles-cl,Rostlab/smiles-cl,1,0
mlplib,https://github.com/nkitamuraQC/mlplib,nkitamuraQC/mlplib,1,0
POAT-main,https://github.com/xiaowangfeng/POAT-main,xiaowangfeng/POAT-main,1,0
dihedral_model,https://github.com/wood-b/dihedral_model,wood-b/dihedral_model,1,0
AI-Enhanced-PDF,https://github.com/sq756/AI-Enhanced-PDF,sq756/AI-Enhanced-PDF,1,0
icet-sqs-gui,https://github.com/bracerino/icet-sqs-gui,bracerino/icet-sqs-gui,1,0
SMOACS,https://github.com/AkiraTOSEI/SMOACS,AkiraTOSEI/SMOACS,1,0
