full_name,repo_url
handwritten-search,https://github.com/StarlightSearch/handwritten-search
MaterialsInformatics,https://github.com/sp8rks/MaterialsInformatics
DBdatasets,https://github.com/RenanFlorencio/DBdatasets
llm-rag-dbt,https://github.com/EAlmazanG/llm-rag-dbt
AtomProNet,https://github.com/MusannaGalib/AtomProNet
vaspvis,https://github.com/caizefeng/vaspvis
EFM,https://github.com/YuxuanQiu-0325/EFM
2D-molecular-packing,https://github.com/ortmann-lab/2D-molecular-packing
XASDAML,https://github.com/BSRF-XA/XASDAML
Quantum-Imaging,https://github.com/Branden-hub/Quantum-Imaging
Au2LaP,https://github.com/SUNSylvia3/Au2LaP
abacus-magnetic,https://github.com/kirk0830/abacus-magnetic
Sampling-molecules,https://github.com/2253shubham/Sampling-molecules
hashin_shtrikman_mp,https://github.com/carlacupcake/hashin_shtrikman_mp
CrystaLLM-finetune,https://github.com/C-Bone-UCL/CrystaLLM-finetune
CrystalDiffusion,https://github.com/PhysiLearn/CrystalDiffusion
matbench-eval,https://github.com/a11155/matbench-eval
Cl_path_rep,https://github.com/SuthPhy2Ai/Cl_path_rep
chggen,https://github.com/zhongpc/chggen
HEOs-with-GFlowNet,https://github.com/ge28yen/HEOs-with-GFlowNet
Printability_Map_Framework,https://github.com/sofiasheikh05/Printability_Map_Framework
BilayerDistance,https://github.com/lorenzoppx/BilayerDistance
MLE4217_5219_book,https://github.com/deng-group/MLE4217_5219_book
DemoTesting,https://github.com/Rohanrn9882/DemoTesting
DataEngineering,https://github.com/TrippyBubble/DataEngineering
SlabGen,https://github.com/shahabafshar/SlabGen
SpinelOER,https://github.com/E2zzreal/SpinelOER
Transformation_matrix_Calculator,https://github.com/aktariitkgp/Transformation_matrix_Calculator
Machine-Learning-In-Material-Science,https://github.com/woblob/Machine-Learning-In-Material-Science
Energy-GNoME,https://github.com/paolodeangelis/Energy-GNoME
lematerial-hasher,https://github.com/LeMaterial/lematerial-hasher
d2gnn,https://github.com/sandialabs/d2gnn
equitrain,https://github.com/BAMeScience/equitrain
Symplex,https://github.com/Materials-Modelling-Microscopy/Symplex
heroku_api,https://github.com/MunafMorvadia/heroku_api
IDEAL-Refined,https://github.com/Lingyu-Kong/IDEAL-Refined
intermetallics_mod,https://github.com/ryannduma/intermetallics_mod
rheedium,https://github.com/debangshu-mukherjee/rheedium
LEAF,https://github.com/lrcfmd/LEAF
pengWann,https://github.com/PatrickJTaylor/pengWann
geo_angle_distance,https://github.com/alekseyevich180/geo_angle_distance
study_structure_tsuji_lab,https://github.com/alekseyevich180/study_structure_tsuji_lab
ML4Oxi,https://github.com/Pravanop/ML4Oxi
spamBot,https://github.com/PrathamX595/spamBot
sq-llm-docstring-gen-kt,https://github.com/czwiessler/sq-llm-docstring-gen-kt
Computational-Chemistry,https://github.com/vmiranda4/Computational-Chemistry
chgnet_practice,https://github.com/Long-Brian-Yang/chgnet_practice
